,id,wind_direction,wind_speed,pm10,pm25,humidity,dew,visibility,temperature
0,50136,192.0,0.0,46.0,37.0,74.0,-32.5,11.1,-29.3
1,50137,123.0,0.0,46.0,37.0,73.0,-29.1,5.8,-25.7
2,50246,228.0,2.0,46.0,37.0,72.0,-30.1,5.9,-26.6
3,50247,142.0,1.0,46.0,37.0,74.0,-30.6,10.7,-27.4
4,50349,156.0,1.0,46.0,37.0,71.0,-26.9,17.5,-23.1
5,50353,356.0,2.0,23.0,21.0,61.0,-23.7,30.0,-18.0
6,50425,248.0,0.0,38.0,34.0,82.0,-16.2,6.2,-13.8
7,50431,79.0,0.0,46.0,37.0,82.0,-22.5,12.0,-20.2
8,50434,198.0,0.0,46.0,37.0,74.0,-21.1,19.4,-17.6
9,50442,302.0,1.0,46.0,37.0,79.0,-17.7,10.6,-14.9
10,50445,314.0,0.0,46.0,37.0,81.0,-17.2,12.9,-14.7
11,50468,332.0,4.0,38.0,24.0,64.0,-22.9,30.0,-17.7
12,50514,257.0,0.0,38.0,34.0,81.0,-20.0,17.4,-17.5
13,50524,263.0,0.0,38.0,34.0,76.0,-27.7,2.3,-24.7
14,50525,0.0,0.0,29.0,27.0,78.0,-24.0,4.1,-21.2
15,50526,358.0,0.0,38.0,34.0,80.0,-22.8,4.5,-20.2
16,50527,149.0,1.0,38.0,34.0,75.0,-25.2,7.7,-22.0
17,50548,355.0,4.0,46.0,37.0,74.0,-14.7,14.6,-11.0
18,50557,13.0,3.0,46.0,37.0,76.0,-17.5,11.4,-14.2
19,50564,360.0,1.0,25.0,20.0,66.0,-21.6,26.9,-16.7
20,50566,265.0,1.0,25.0,20.0,74.0,-22.2,22.8,-18.7
21,50603,346.0,3.0,29.0,27.0,80.0,-15.9,30.0,-13.2
22,50618,53.0,0.0,29.0,27.0,93.0,-15.0,5.4,-14.1
23,50632,343.0,4.0,29.0,27.0,69.0,-18.1,21.1,-13.6
24,50639,360.0,2.0,37.0,30.0,71.0,-14.2,4.7,-9.9
25,50645,18.0,8.0,37.0,30.0,78.0,-15.4,7.9,-12.4
26,50646,12.0,5.0,37.0,30.0,82.0,-15.0,4.1,-12.6
27,50647,6.0,2.0,37.0,30.0,78.0,-13.0,12.2,-9.9
28,50655,67.0,6.0,37.0,30.0,78.0,-17.8,2.4,-14.8
29,50656,38.0,5.0,78.0,58.0,78.0,-16.5,10.8,-13.5
30,50658,11.0,3.0,37.0,30.0,77.0,-17.2,10.3,-14.0
31,50659,31.0,6.0,78.0,58.0,82.0,-17.0,4.2,-14.6
32,50673,84.0,1.0,20.0,10.0,70.0,-18.9,15.9,-14.6
33,50674,270.0,0.0,20.0,10.0,67.0,-17.0,7.4,-12.1
34,50727,0.0,0.0,31.0,23.0,74.0,-19.8,12.2,-16.2
35,50739,347.0,4.0,26.0,24.0,80.0,-13.4,13.3,-10.6
36,50741,11.0,6.0,37.0,30.0,76.0,-13.3,10.2,-9.9
37,50742,6.0,4.0,37.0,30.0,84.0,-12.8,3.2,-10.6
38,50745,18.0,4.0,37.0,30.0,77.0,-13.7,3.6,-10.5
39,50749,22.0,3.0,71.0,51.0,81.0,-12.3,7.7,-9.7
40,50750,52.0,4.0,37.0,30.0,81.0,-14.3,2.4,-11.7
41,50755,48.0,3.0,78.0,58.0,83.0,-12.4,4.1,-10.1
42,50756,114.0,3.0,78.0,58.0,83.0,-9.3,1.7,-6.9
43,50758,96.0,3.0,91.0,85.0,90.0,-9.2,6.5,-7.8
44,50767,78.0,2.0,78.0,58.0,77.0,-10.2,10.1,-6.8
45,50772,6.0,2.0,20.0,10.0,54.0,-16.8,30.0,-9.2
46,50774,39.0,0.0,45.0,40.0,57.0,-14.8,11.2,-7.8
47,50775,18.0,0.0,33.0,27.0,62.0,-17.7,30.0,-11.9
48,50776,22.0,2.0,50.0,19.0,60.0,-18.4,14.3,-12.2
49,50778,322.0,1.0,218.0,141.0,71.0,-18.9,30.0,-14.8
50,50779,25.0,1.0,218.0,141.0,74.0,-21.9,12.2,-18.4
51,50787,41.0,2.0,218.0,141.0,70.0,-18.9,18.9,-14.6
52,50788,354.0,1.0,218.0,141.0,72.0,-17.9,7.1,-14.0
53,50832,345.0,3.0,60.0,59.0,57.0,-17.3,29.1,-10.4
54,50833,312.0,2.0,60.0,59.0,78.0,-15.1,10.8,-12.0
55,50834,287.0,2.0,31.0,23.0,69.0,-20.2,18.9,-15.8
56,50838,293.0,2.0,44.0,34.0,54.0,-17.5,23.2,-10.0
57,50842,353.0,4.0,71.0,51.0,86.0,-12.6,6.2,-10.7
58,50844,345.0,4.0,62.0,10.0,77.0,-13.9,7.2,-10.7
59,50850,328.0,2.0,71.0,51.0,87.0,-11.2,4.5,-9.4
60,50851,68.0,1.0,78.0,58.0,85.0,-9.4,3.9,-7.3
61,50852,140.0,1.0,78.0,58.0,83.0,-9.6,2.7,-7.2
62,50853,108.0,1.0,78.0,58.0,76.0,-10.6,7.7,-7.1
63,50854,300.0,1.0,83.0,61.0,85.0,-9.9,2.9,-7.8
64,50858,285.0,2.0,93.0,86.0,95.0,-8.0,3.5,-7.4
65,50859,117.0,1.0,93.0,86.0,87.0,-9.5,2.2,-7.7
66,50861,52.0,1.0,78.0,58.0,70.0,-11.1,3.4,-6.6
67,50862,52.0,2.0,78.0,58.0,67.0,-11.4,10.8,-6.3
68,50867,90.0,6.0,93.0,86.0,77.0,-12.0,7.6,-8.7
69,50871,45.0,3.0,41.0,35.0,68.0,-17.9,15.3,-13.2
70,50873,8.0,1.0,46.0,34.0,69.0,-18.4,2.7,-13.9
71,50877,58.0,1.0,41.0,35.0,63.0,-16.8,16.1,-11.1
72,50878,22.0,2.0,48.0,32.0,66.0,-18.7,16.1,-13.7
73,50879,67.0,1.0,67.0,56.0,71.0,-13.9,4.1,-9.6
74,50880,344.0,1.0,218.0,141.0,73.0,-18.8,6.4,-15.0
75,50881,24.0,1.0,218.0,141.0,69.0,-18.7,15.8,-14.3
76,50884,355.0,1.0,122.0,110.0,75.0,-17.1,4.7,-13.6
77,50888,14.0,1.0,151.0,126.0,80.0,-17.5,4.8,-14.8
78,50892,203.0,1.0,218.0,141.0,73.0,-20.9,7.6,-17.2
79,50913,343.0,4.0,31.0,23.0,75.0,-16.9,30.0,-13.4
80,50915,262.0,2.0,6.0,6.0,66.0,-18.1,18.2,-13.1
81,50924,313.0,3.0,31.0,23.0,70.0,-16.6,29.2,-12.3
82,50928,322.0,4.0,31.0,23.0,62.0,-14.0,30.0,-8.0
83,50934,316.0,4.0,31.0,23.0,56.0,-15.5,28.7,-8.3
84,50936,328.0,2.0,62.0,10.0,73.0,-15.8,8.0,-11.9
85,50937,340.0,3.0,31.0,23.0,61.0,-13.9,30.0,-7.7
86,50939,235.0,1.0,70.0,64.0,71.0,-17.3,22.1,-13.2
87,50940,335.0,4.0,62.0,10.0,79.0,-13.2,17.4,-10.4
88,50945,300.0,3.0,130.0,126.0,95.0,-14.2,10.6,-13.7
89,50946,267.0,1.0,130.0,126.0,87.0,-13.7,2.4,-12.1
90,50948,252.0,1.0,216.0,163.0,86.0,-16.7,3.9,-14.9
91,50949,258.0,1.0,216.0,163.0,84.0,-14.4,20.0,-12.2
92,50950,251.0,2.0,130.0,107.0,85.0,-14.1,3.2,-12.1
93,50953,96.0,1.0,93.0,86.0,88.0,-8.5,3.1,-6.9
94,50954,277.0,2.0,130.0,126.0,84.0,-13.7,1.3,-11.5
95,50955,251.0,3.0,56.0,51.0,84.0,-11.9,8.6,-9.7
96,50956,121.0,2.0,93.0,86.0,81.0,-10.3,7.9,-7.6
97,50958,236.0,1.0,56.0,51.0,85.0,-7.4,11.3,-5.3
98,50960,49.0,2.0,83.0,62.0,81.0,-10.7,2.0,-8.0
99,50962,96.0,6.0,93.0,86.0,69.0,-12.9,9.4,-8.2
100,50963,80.0,6.0,41.0,35.0,68.0,-14.3,10.8,-9.5
101,50964,62.0,4.0,109.0,82.0,75.0,-15.0,5.7,-11.5
102,50965,61.0,2.0,83.0,62.0,72.0,-15.1,8.2,-11.0
103,50968,46.0,2.0,56.0,51.0,76.0,-13.9,4.7,-10.5
