,time,year,month,day,hour,wind_direction,wind_speed,pm10,pm25,humidity,dew,visibility,temperature,lost
0,20010100,2020,1,1,0,90.0,1.0,113.0,80.0,76.0,5.6,5.8,9.6,False
1,20010101,2020,1,1,1,132.0,0.0,101.0,81.0,78.0,5.7,5.4,9.3,False
2,20010102,2020,1,1,2,86.0,1.0,128.0,80.0,79.0,5.7,5.1,9.1,False
3,20010103,2020,1,1,3,54.0,0.0,114.0,91.0,80.0,5.7,4.8,9.0,False
4,20010104,2020,1,1,4,76.0,0.0,120.0,77.0,80.0,5.6,5.4,8.9,False
5,20010105,2020,1,1,5,357.0,1.0,121.0,92.0,82.0,6.0,4.5,8.9,False
6,20010106,2020,1,1,6,302.0,0.0,118.0,85.0,82.0,5.9,4.2,8.8,False
7,20010107,2020,1,1,7,283.0,1.0,132.0,71.0,88.0,6.7,3.2,8.6,False
8,20010108,2020,1,1,8,222.0,0.0,130.0,84.0,91.0,7.1,2.9,8.5,False
9,20010109,2020,1,1,9,253.0,0.0,136.0,93.0,91.0,7.2,2.7,8.6,False
10,20010110,2020,1,1,10,321.0,0.0,142.0,91.0,88.0,7.0,3.1,8.9,False
11,20010111,2020,1,1,11,321.0,0.0,134.0,87.0,83.0,7.0,3.4,9.7,False
12,20010112,2020,1,1,12,143.0,1.0,120.0,77.0,75.0,6.1,4.5,10.3,False
13,20010113,2020,1,1,13,284.0,1.0,133.0,97.0,77.0,6.4,4.4,10.3,False
14,20010114,2020,1,1,14,296.0,1.0,159.0,87.0,81.0,6.9,3.5,10.0,False
15,20010115,2020,1,1,15,286.0,1.0,146.0,92.0,77.0,6.6,3.9,10.5,False
16,20010116,2020,1,1,16,299.0,1.0,149.0,110.0,78.0,6.7,4.3,10.4,False
17,20010117,2020,1,1,17,298.0,1.0,141.0,90.0,81.0,7.4,3.9,10.5,False
18,20010118,2020,1,1,18,308.0,1.0,158.0,102.0,81.0,7.1,3.8,10.2,False
19,20010119,2020,1,1,19,353.0,0.0,145.0,104.0,83.0,7.1,3.6,9.8,False
20,20010120,2020,1,1,20,19.0,1.0,173.0,100.0,84.0,7.1,4.0,9.7,False
21,20010121,2020,1,1,21,53.0,2.0,141.0,97.0,83.0,7.0,4.2,9.7,False
22,20010122,2020,1,1,22,0.0,0.0,119.0,84.0,85.0,7.0,3.9,9.4,False
23,20010123,2020,1,1,23,265.0,0.0,138.0,96.0,86.0,7.1,3.9,9.3,False
24,20010200,2020,1,2,0,322.0,0.0,118.0,94.0,86.0,6.9,3.7,9.1,False
25,20010201,2020,1,2,1,17.0,0.0,113.0,76.0,88.0,7.1,3.4,9.0,False
26,20010202,2020,1,2,2,14.0,0.0,110.0,58.0,88.0,7.1,3.6,9.0,False
27,20010203,2020,1,2,3,352.0,0.0,140.0,61.0,88.0,7.1,3.7,9.0,False
28,20010204,2020,1,2,4,348.0,0.0,105.0,78.0,89.0,7.2,3.5,8.9,False
29,20010205,2020,1,2,5,331.0,0.0,109.0,70.0,89.0,7.1,3.4,8.8,False
30,20010206,2020,1,2,6,353.0,1.0,106.0,80.0,89.0,7.1,3.5,8.8,False
31,20010207,2020,1,2,7,337.0,1.0,109.0,80.0,89.0,7.0,3.4,8.7,False
32,20010208,2020,1,2,8,77.0,0.0,105.0,81.0,88.0,7.0,3.6,8.9,False
33,20010209,2020,1,2,9,112.0,0.0,118.0,81.0,88.0,7.0,3.5,8.9,False
34,20010210,2020,1,2,10,337.0,1.0,134.0,89.0,86.0,6.9,3.8,9.1,False
35,20010211,2020,1,2,11,331.0,1.0,128.0,84.0,84.0,6.9,3.8,9.5,False
36,20010212,2020,1,2,12,25.0,0.0,133.0,95.0,82.0,7.0,4.0,9.9,False
37,20010213,2020,1,2,13,330.0,1.0,126.0,79.0,79.0,6.8,4.1,10.3,False
38,20010214,2020,1,2,14,327.0,1.0,124.0,102.0,78.0,7.0,3.9,10.7,False
39,20010215,2020,1,2,15,332.0,1.0,138.0,98.0,79.0,7.1,3.7,10.6,False
40,20010216,2020,1,2,16,343.0,1.0,160.0,96.0,79.0,7.0,3.7,10.5,False
41,20010217,2020,1,2,17,5.0,1.0,165.0,108.0,79.0,6.8,3.9,10.3,False
42,20010218,2020,1,2,18,333.0,1.0,150.0,98.0,81.0,6.9,3.8,10.0,False
43,20010219,2020,1,2,19,18.0,0.0,156.0,97.0,84.0,7.1,3.4,9.7,False
44,20010220,2020,1,2,20,346.0,1.0,136.0,104.0,84.0,6.8,3.5,9.4,False
45,20010221,2020,1,2,21,346.0,1.0,149.0,102.0,85.0,6.8,3.9,9.2,False
46,20010222,2020,1,2,22,1.0,1.0,133.0,98.0,85.0,6.9,4.9,9.3,False
47,20010223,2020,1,2,23,358.0,1.0,145.0,86.0,86.0,7.0,4.6,9.2,False
48,20010300,2020,1,3,0,353.0,0.0,110.0,83.0,87.0,7.0,4.2,9.0,False
49,20010301,2020,1,3,1,15.0,0.0,134.0,99.0,87.0,6.9,4.2,8.9,False
50,20010302,2020,1,3,2,334.0,0.0,108.0,94.0,89.0,7.2,3.3,8.9,False
51,20010303,2020,1,3,3,319.0,0.0,99.0,64.0,89.0,7.2,3.3,8.9,False
52,20010304,2020,1,3,4,307.0,0.0,108.0,84.0,88.0,7.0,3.5,8.9,False
53,20010305,2020,1,3,5,300.0,0.0,105.0,83.0,90.0,7.2,3.1,8.7,False
54,20010306,2020,1,3,6,0.0,0.0,98.0,91.0,89.0,6.9,3.6,8.6,False
55,20010307,2020,1,3,7,340.0,0.0,137.0,86.0,89.0,6.8,3.8,8.5,False
56,20010308,2020,1,3,8,289.0,0.0,138.0,74.0,90.0,7.0,3.4,8.5,False
57,20010309,2020,1,3,9,348.0,0.0,132.0,97.0,85.0,6.5,4.2,8.9,False
58,20010310,2020,1,3,10,293.0,0.0,149.0,90.0,82.0,6.6,4.9,9.5,False
59,20010311,2020,1,3,11,257.0,1.0,120.0,97.0,79.0,7.1,5.0,10.6,False
60,20010312,2020,1,3,12,233.0,0.0,118.0,83.0,71.0,7.1,5.0,12.2,False
61,20010313,2020,1,3,13,189.0,2.0,115.0,48.0,54.0,4.1,7.0,13.2,False
62,20010314,2020,1,3,14,247.0,0.0,91.0,72.0,54.0,4.3,10.0,13.4,False
63,20010315,2020,1,3,15,318.0,1.0,106.0,62.0,51.0,3.8,10.2,13.7,False
64,20010316,2020,1,3,16,211.0,1.0,83.0,60.0,53.0,4.3,9.0,13.7,False
65,20010317,2020,1,3,17,164.0,0.0,84.0,60.0,54.0,4.0,9.4,13.1,False
66,20010318,2020,1,3,18,250.0,1.0,110.0,62.0,57.0,3.9,9.6,12.2,False
67,20010319,2020,1,3,19,253.0,0.0,99.0,58.0,68.0,5.1,7.2,10.8,False
68,20010320,2020,1,3,20,230.0,0.0,135.0,83.0,74.0,5.2,6.3,9.6,False
69,20010321,2020,1,3,21,0.0,0.0,120.0,69.0,79.0,5.1,6.5,8.5,False
70,20010322,2020,1,3,22,104.0,0.0,83.0,61.0,81.0,4.7,6.5,7.8,False
71,20010323,2020,1,3,23,0.0,0.0,162.0,81.0,84.0,4.9,6.9,7.4,False
72,20010400,2020,1,4,0,0.0,0.0,115.0,75.0,88.0,4.8,5.4,6.6,False
73,20010401,2020,1,4,1,0.0,0.0,130.0,82.0,90.0,4.8,4.8,6.3,False
74,20010402,2020,1,4,2,0.0,0.0,114.0,65.0,93.0,4.6,4.0,5.6,False
75,20010403,2020,1,4,3,103.0,0.0,102.0,60.0,91.0,5.1,5.2,6.5,False
76,20010404,2020,1,4,4,229.0,0.0,94.0,62.0,90.0,4.8,4.5,6.3,False
77,20010405,2020,1,4,5,290.0,1.0,86.0,61.0,91.0,4.8,4.3,6.2,False
78,20010406,2020,1,4,6,0.0,0.0,105.0,58.0,92.0,5.2,4.3,6.4,False
79,20010407,2020,1,4,7,0.0,0.0,105.0,58.0,92.0,5.2,4.3,6.4,False
80,20010408,2020,1,4,8,0.0,0.0,111.0,52.0,90.0,5.4,4.4,6.9,False
81,20010409,2020,1,4,9,320.0,0.0,161.0,76.0,88.0,5.5,3.9,7.4,False
82,20010410,2020,1,4,10,312.0,1.0,138.0,66.0,74.0,5.6,5.9,10.0,False
83,20010411,2020,1,4,11,164.0,1.0,109.0,70.0,71.0,5.4,6.0,10.4,False
84,20010412,2020,1,4,12,326.0,1.0,111.0,78.0,69.0,5.7,6.2,11.2,False
85,20010413,2020,1,4,13,139.0,0.0,98.0,59.0,64.0,5.5,6.8,12.1,False
86,20010414,2020,1,4,14,248.0,1.0,83.0,78.0,58.0,5.1,7.4,13.2,False
87,20010415,2020,1,4,15,276.0,1.0,114.0,68.0,58.0,5.3,7.3,13.4,False
88,20010416,2020,1,4,16,29.0,1.0,99.0,63.0,64.0,5.7,7.0,12.3,False
89,20010417,2020,1,4,17,31.0,1.0,131.0,85.0,68.0,6.1,6.2,11.8,False
