,id,wind_direction,wind_speed,pm10,pm25,humidity,dew,visibility,temperature
0,50136,0.0,0.0,,,69.0,-18.1,7.6,-13.6
1,50137,53.0,1.0,,,70.0,-25.7,30.0,-21.7
2,50246,233.0,1.0,96.0,74.0,62.0,-20.7,30.0,-15.1
3,50247,46.0,0.0,,,61.0,-20.3,13.7,-14.4
4,50349,10.0,0.0,96.0,74.0,61.0,-20.1,30.0,-14.2
5,50353,344.0,0.0,96.0,74.0,66.0,-27.5,12.0,-22.9
6,50425,102.0,1.0,31.0,22.0,69.0,-23.5,16.1,-19.2
7,50431,262.0,0.0,31.0,22.0,70.0,-19.2,13.2,-15.0
8,50434,302.0,1.0,31.0,22.0,65.0,-18.6,18.9,-13.4
9,50442,270.0,2.0,96.0,74.0,53.0,-16.8,30.0,-9.0
10,50445,346.0,0.0,96.0,74.0,56.0,-16.1,14.9,-8.9
11,50468,184.0,1.0,108.0,82.0,63.0,-22.8,7.6,-17.4
12,50514,91.0,2.0,31.0,22.0,78.0,-18.7,14.7,-15.7
13,50524,100.0,1.0,31.0,22.0,78.0,-18.9,15.4,-16.0
14,50525,134.0,1.0,23.0,12.0,62.0,-18.8,27.0,-13.1
15,50526,62.0,2.0,31.0,22.0,70.0,-20.0,22.3,-15.8
16,50527,90.0,5.0,31.0,22.0,70.0,-20.9,18.9,-16.7
17,50548,205.0,1.0,89.0,65.0,58.0,-16.8,12.2,-10.1
18,50557,218.0,1.0,96.0,74.0,60.0,-21.3,4.7,-15.3
19,50564,37.0,1.0,83.0,67.0,53.0,-18.9,8.6,-11.2
20,50566,231.0,0.0,83.0,67.0,60.0,-18.3,6.5,-12.1
21,50603,16.0,1.0,23.0,12.0,79.0,-18.2,30.0,-15.4
22,50618,198.0,1.0,23.0,12.0,72.0,-16.6,30.0,-12.6
23,50632,276.0,3.0,23.0,12.0,49.0,-11.9,30.0,-2.7
24,50639,134.0,1.0,89.0,65.0,45.0,-14.0,6.7,-3.8
25,50645,164.0,1.0,89.0,65.0,65.0,-18.6,7.9,-13.4
26,50646,90.0,1.0,89.0,65.0,83.0,-17.9,3.8,-15.7
27,50647,121.0,1.0,89.0,65.0,56.0,-13.4,15.8,-6.0
28,50655,117.0,2.0,89.0,65.0,68.0,-20.3,3.1,-15.8
29,50656,134.0,2.0,182.0,174.0,72.0,-21.4,1.6,-17.6
30,50658,94.0,1.0,89.0,65.0,69.0,-17.8,7.3,-13.3
31,50659,126.0,1.0,182.0,174.0,66.0,-19.9,3.4,-15.0
32,50673,102.0,1.0,54.0,47.0,62.0,-22.7,25.3,-17.2
33,50674,108.0,2.0,54.0,47.0,54.0,-16.9,9.3,-9.3
34,50727,248.0,0.0,38.0,26.0,63.0,-16.5,30.0,-10.8
35,50739,206.0,1.0,110.0,70.0,60.0,-12.8,2.1,-6.3
36,50741,112.0,1.0,89.0,65.0,59.0,-14.8,6.2,-8.2
37,50742,110.0,0.0,89.0,65.0,60.0,-16.4,5.0,-10.1
38,50745,336.0,1.0,89.0,65.0,52.0,-15.0,4.9,-6.8
39,50749,149.0,1.0,78.0,52.0,58.0,-14.9,18.6,-8.1
40,50750,80.0,1.0,89.0,65.0,65.0,-17.2,4.3,-12.0
41,50755,120.0,1.0,182.0,174.0,65.0,-17.4,3.2,-12.2
