,id,wind_direction,wind_speed,pm10,pm25,humidity,dew,visibility,temperature
0,50136,209.0,0.0,,,75.0,-28.7,11.4,-25.6
1,50137,338.0,0.0,,,73.0,-30.1,27.6,-26.7
2,50246,275.0,3.0,,,79.0,-24.7,27.8,-22.0
3,50247,91.0,0.0,,,76.0,-28.0,16.6,-25.0
4,50349,268.0,1.0,48.0,37.0,75.0,-27.5,30.0,-24.3
5,50353,192.0,1.0,48.0,37.0,78.0,-28.0,9.6,-25.3
6,50425,271.0,0.0,25.0,14.0,77.0,-26.6,8.5,-23.7
7,50431,30.0,0.0,25.0,14.0,77.0,-26.4,14.7,-23.5
8,50434,183.0,1.0,25.0,14.0,74.0,-31.1,20.2,-27.9
9,50442,271.0,0.0,48.0,37.0,85.0,-20.2,26.5,-18.3
10,50445,333.0,1.0,48.0,37.0,81.0,-19.8,11.9,-17.3
11,50468,318.0,1.0,48.0,37.0,78.0,-23.2,14.0,-20.4
12,50514,236.0,2.0,25.0,14.0,76.0,-26.8,14.3,-23.8
13,50524,306.0,1.0,25.0,14.0,77.0,-26.5,13.6,-23.6
14,50525,122.0,1.0,23.0,17.0,78.0,-21.3,17.0,-18.4
15,50526,261.0,2.0,25.0,14.0,80.0,-19.2,22.2,-16.6
16,50527,183.0,2.0,25.0,14.0,78.0,-21.4,27.8,-18.5
17,50548,64.0,1.0,73.0,50.0,77.0,-23.5,2.4,-20.5
18,50557,57.0,0.0,48.0,47.0,80.0,-26.5,3.4,-24.0
19,50564,168.0,0.0,48.0,47.0,80.0,-21.7,12.7,-19.1
20,50566,213.0,0.0,48.0,47.0,80.0,-25.7,13.2,-23.2
21,50603,253.0,3.0,23.0,17.0,85.0,-19.9,30.0,-18.0
22,50618,217.0,1.0,23.0,17.0,88.0,-21.0,30.0,-19.5
23,50632,295.0,2.0,23.0,17.0,70.0,-17.5,30.0,-13.2
24,50639,337.0,2.0,73.0,50.0,47.0,-17.7,24.4,-8.4
25,50645,0.0,0.0,73.0,50.0,77.0,-25.5,8.7,-22.6
26,50646,307.0,0.0,73.0,50.0,84.0,-19.3,20.5,-17.2
27,50647,279.0,1.0,73.0,50.0,72.0,-17.9,7.5,-13.9
28,50655,6.0,0.0,73.0,50.0,83.0,-20.9,8.6,-18.7
29,50656,22.0,2.0,54.0,45.0,77.0,-21.4,5.4,-18.4
30,50658,336.0,0.0,73.0,50.0,81.0,-20.0,11.9,-17.5
31,50659,3.0,2.0,54.0,45.0,79.0,-19.1,26.9,-16.3
32,50673,237.0,0.0,16.0,6.0,79.0,-25.3,7.0,-22.7
33,50674,311.0,1.0,16.0,6.0,82.0,-21.5,30.0,-19.2
34,50727,136.0,1.0,41.0,34.0,79.0,-19.2,25.4,-16.4
35,50739,265.0,1.0,111.0,61.0,79.0,-16.7,3.6,-13.8
36,50741,213.0,0.0,73.0,50.0,81.0,-17.7,2.6,-15.2
37,50742,327.0,0.0,73.0,50.0,85.0,-19.9,1.0,-18.0
38,50745,258.0,0.0,73.0,50.0,81.0,-21.2,7.0,-18.8
39,50749,322.0,1.0,44.0,35.0,82.0,-19.6,10.7,-17.3
40,50750,37.0,2.0,73.0,50.0,79.0,-18.4,14.5,-15.6
41,50755,311.0,1.0,54.0,45.0,81.0,-19.4,5.0,-16.9
42,50756,301.0,1.0,54.0,45.0,78.0,-19.8,3.0,-16.9
43,50758,349.0,1.0,53.0,48.0,76.0,-19.4,23.6,-16.2
44,50767,350.0,2.0,54.0,45.0,67.0,-17.5,15.5,-12.7
45,50772,0.0,0.0,16.0,6.0,82.0,-21.3,5.9,-19.0
46,50774,264.0,0.0,43.0,25.0,86.0,-19.3,16.6,-17.5
47,50775,317.0,2.0,25.0,13.0,62.0,-16.8,30.0,-11.0
48,50776,307.0,1.0,25.0,13.0,62.0,-16.2,26.1,-10.3
49,50778,307.0,3.0,42.0,14.0,68.0,-18.0,30.0,-13.4
50,50779,325.0,0.0,42.0,14.0,83.0,-23.2,10.6,-21.1
51,50787,299.0,4.0,42.0,14.0,66.0,-17.8,30.0,-12.8
52,50788,303.0,3.0,42.0,14.0,67.0,-17.5,30.0,-12.7
53,50832,215.0,0.0,41.0,34.0,75.0,-22.0,18.4,-18.7
54,50833,276.0,3.0,111.0,61.0,70.0,-16.9,23.8,-12.6
55,50834,266.0,3.0,41.0,34.0,61.0,-18.0,30.0,-12.0
56,50838,0.0,0.0,41.0,34.0,70.0,-16.6,6.3,-12.3
57,50842,332.0,2.0,44.0,35.0,83.0,-21.1,8.3,-18.9
58,50844,324.0,1.0,143.0,119.0,77.0,-22.6,5.4,-19.6
59,50850,320.0,1.0,44.0,35.0,83.0,-18.1,12.6,-15.9
60,50851,4.0,0.0,54.0,45.0,78.0,-19.3,12.0,-16.4
61,50852,353.0,2.0,54.0,45.0,77.0,-18.4,5.9,-15.3
62,50853,255.0,1.0,54.0,45.0,74.0,-18.2,14.9,-14.6
63,50854,321.0,2.0,48.0,39.0,70.0,-18.7,10.5,-14.4
64,50858,289.0,1.0,132.0,122.0,82.0,-19.7,7.2,-17.5
65,50859,286.0,2.0,132.0,122.0,81.0,-24.7,2.6,-22.3
66,50861,224.0,2.0,54.0,45.0,80.0,-19.0,4.8,-16.5
67,50862,168.0,1.0,54.0,45.0,84.0,-20.8,1.9,-18.8
68,50867,246.0,2.0,132.0,122.0,74.0,-20.9,6.5,-17.4
69,50871,176.0,2.0,125.0,115.0,75.0,-17.3,5.5,-13.8
70,50873,166.0,0.0,93.0,80.0,80.0,-20.0,3.2,-17.4
71,50877,230.0,1.0,125.0,115.0,72.0,-14.7,13.3,-10.6
72,50878,281.0,2.0,78.0,64.0,71.0,-16.6,8.4,-12.4
73,50879,311.0,2.0,56.0,33.0,76.0,-14.8,4.5,-11.4
74,50880,297.0,1.0,42.0,14.0,62.0,-16.4,8.1,-10.5
75,50881,301.0,4.0,42.0,14.0,66.0,-16.5,30.0,-11.4
76,50884,341.0,1.0,36.0,20.0,55.0,-15.5,30.0,-8.1
77,50888,319.0,5.0,37.0,27.0,63.0,-14.8,19.7,-9.0
78,50892,242.0,0.0,42.0,14.0,72.0,-22.8,8.7,-19.0
79,50913,203.0,1.0,41.0,34.0,83.0,-23.4,18.7,-21.3
80,50915,29.0,1.0,9.0,8.0,76.0,-24.2,5.8,-21.1
