,id,wind_direction,wind_speed,pm10,pm25,humidity,dew,visibility,temperature
0,50136,207.0,3.0,,,60.0,-24.7,18.1,-18.9
1,50137,337.0,3.0,,,51.0,-26.6,9.0,-19.0
2,50246,312.0,0.0,6.0,1.0,57.0,-28.1,11.9,-21.9
3,50247,188.0,0.0,,,70.0,-28.9,30.0,-25.0
4,50349,208.0,0.0,6.0,1.0,50.0,-26.7,30.0,-18.9
5,50353,279.0,7.0,6.0,1.0,41.0,-24.4,30.0,-14.0
6,50425,208.0,0.0,29.0,22.0,72.0,-31.9,2.2,-28.4
7,50431,232.0,2.0,29.0,22.0,67.0,-29.0,16.2,-24.6
8,50434,281.0,2.0,29.0,22.0,66.0,-29.2,4.8,-24.7
9,50442,297.0,3.0,6.0,1.0,41.0,-24.7,23.2,-14.3
10,50445,281.0,2.0,6.0,1.0,46.0,-23.6,29.5,-14.5
11,50468,298.0,3.0,20.0,12.0,43.0,-25.1,30.0,-15.3
12,50514,287.0,3.0,29.0,22.0,68.0,-30.0,30.0,-25.8
13,50524,172.0,1.0,29.0,22.0,71.0,-28.8,4.4,-25.1
14,50525,131.0,1.0,23.0,20.0,70.0,-28.7,4.4,-24.8
15,50526,231.0,0.0,29.0,22.0,72.0,-29.3,18.1,-25.7
16,50527,165.0,4.0,29.0,22.0,65.0,-29.3,30.0,-24.6
17,50548,304.0,3.0,38.0,23.0,35.0,-24.7,21.5,-12.4
18,50557,266.0,1.0,6.0,1.0,52.0,-24.7,7.1,-17.2
19,50564,209.0,2.0,31.0,26.0,48.0,-25.9,5.1,-17.5
20,50566,233.0,3.0,31.0,26.0,51.0,-25.0,30.0,-17.3
21,50603,259.0,0.0,23.0,20.0,69.0,-25.2,4.4,-21.0
22,50618,131.0,1.0,23.0,20.0,65.0,-25.2,24.1,-20.3
23,50632,311.0,4.0,23.0,20.0,52.0,-25.5,30.0,-18.0
24,50639,343.0,1.0,38.0,23.0,47.0,-24.0,6.3,-15.2
25,50645,224.0,2.0,38.0,23.0,54.0,-23.1,7.4,-15.9
26,50646,232.0,4.0,38.0,23.0,61.0,-24.2,12.8,-18.5
27,50647,46.0,1.0,38.0,23.0,52.0,-22.7,5.3,-15.0
28,50655,259.0,2.0,38.0,23.0,60.0,-24.8,9.1,-19.0
29,50656,239.0,2.0,72.0,67.0,55.0,-25.5,13.0,-18.7
30,50658,220.0,4.0,38.0,23.0,56.0,-25.5,18.4,-18.9
31,50659,260.0,1.0,72.0,67.0,57.0,-25.5,24.8,-19.1
32,50673,240.0,1.0,27.0,8.0,56.0,-26.4,11.7,-19.9
33,50674,270.0,5.0,27.0,8.0,58.0,-25.8,30.0,-19.6
34,50727,278.0,0.0,39.0,36.0,61.0,-26.1,30.0,-20.5
35,50739,183.0,3.0,26.0,22.0,49.0,-23.1,10.9,-14.7
36,50741,228.0,2.0,38.0,23.0,45.0,-22.5,9.6,-13.1
37,50742,244.0,3.0,38.0,23.0,51.0,-22.4,14.9,-14.5
38,50745,211.0,3.0,38.0,23.0,51.0,-22.3,13.2,-14.4
39,50749,239.0,2.0,24.0,22.0,53.0,-23.6,4.3,-16.2
40,50750,248.0,3.0,38.0,23.0,59.0,-23.5,13.6,-17.4
41,50755,222.0,1.0,72.0,67.0,62.0,-24.9,3.6,-19.5
42,50756,245.0,3.0,72.0,67.0,65.0,-26.7,10.0,-21.9
43,50758,257.0,3.0,27.0,7.0,62.0,-25.1,30.0,-19.7
44,50767,169.0,0.0,72.0,67.0,73.0,-26.7,2.0,-23.2
45,50772,167.0,2.0,27.0,8.0,61.0,-25.5,11.8,-19.9
46,50774,259.0,6.0,51.0,29.0,56.0,-26.2,15.3,-19.6
47,50775,301.0,3.0,31.0,25.0,44.0,-25.5,30.0,-16.0
48,50776,272.0,4.0,32.0,16.0,47.0,-24.4,20.2,-15.6
49,50778,271.0,7.0,21.0,4.0,52.0,-23.8,15.4,-16.2
50,50779,247.0,9.0,21.0,4.0,53.0,-24.1,30.0,-16.8
51,50787,246.0,5.0,21.0,4.0,59.0,-23.8,30.0,-17.7
52,50788,260.0,9.0,21.0,4.0,59.0,-22.5,17.1,-16.3
53,50832,209.0,1.0,40.0,32.0,62.0,-21.1,4.8,-15.5
54,50833,230.0,3.0,40.0,32.0,51.0,-21.3,30.0,-13.3
55,50834,236.0,0.0,39.0,36.0,57.0,-20.6,3.5,-13.9
56,50838,260.0,0.0,89.0,49.0,54.0,-20.3,9.7,-12.9
57,50842,242.0,2.0,24.0,22.0,63.0,-22.6,13.8,-17.2
58,50844,206.0,2.0,57.0,36.0,62.0,-21.4,13.2,-15.8
59,50850,238.0,2.0,24.0,22.0,53.0,-22.8,25.8,-15.4
60,50851,215.0,1.0,72.0,67.0,69.0,-25.0,7.1,-20.8
61,50852,231.0,1.0,72.0,67.0,59.0,-24.2,6.3,-18.1
62,50853,263.0,1.0,72.0,67.0,67.0,-24.9,5.8,-20.4
63,50854,219.0,2.0,27.0,7.0,68.0,-24.7,11.1,-20.3
64,50858,228.0,2.0,101.0,84.0,66.0,-26.8,11.8,-22.3
65,50859,248.0,4.0,101.0,84.0,61.0,-26.4,8.3,-20.8
66,50861,206.0,3.0,72.0,67.0,66.0,-26.3,6.3,-21.7
67,50862,153.0,2.0,72.0,67.0,74.0,-27.5,2.1,-24.2
68,50867,230.0,1.0,101.0,84.0,65.0,-26.7,5.9,-21.9
69,50871,218.0,5.0,41.0,32.0,54.0,-25.0,14.2,-17.9
70,50873,191.0,2.0,42.0,30.0,50.0,-24.6,15.2,-16.6
71,50877,241.0,7.0,41.0,32.0,51.0,-25.0,17.3,-17.3
72,50878,236.0,5.0,37.0,26.0,52.0,-24.0,14.6,-16.4
73,50879,263.0,10.0,39.0,23.0,62.0,-23.0,8.0,-17.5
74,50880,259.0,5.0,21.0,4.0,47.0,-24.4,30.0,-15.7
75,50881,256.0,4.0,21.0,4.0,52.0,-24.1,22.0,-16.5
76,50884,221.0,2.0,84.0,67.0,51.0,-24.0,19.2,-16.2
77,50888,249.0,4.0,36.0,35.0,51.0,-23.6,20.6,-15.7
78,50892,272.0,8.0,21.0,4.0,50.0,-25.5,13.9,-17.6
79,50913,360.0,1.0,39.0,36.0,68.0,-26.3,26.8,-22.0
80,50915,34.0,1.0,31.0,26.0,68.0,-24.8,20.6,-20.4
81,50924,308.0,2.0,39.0,36.0,60.0,-23.8,21.2,-17.9
82,50928,163.0,1.0,39.0,36.0,59.0,-22.8,19.0,-16.7
83,50934,130.0,0.0,39.0,36.0,45.0,-20.5,30.0,-10.9
84,50936,188.0,1.0,57.0,36.0,61.0,-20.9,6.5,-15.0
85,50937,198.0,1.0,39.0,36.0,58.0,-18.7,19.7,-12.1
86,50939,185.0,1.0,44.0,32.0,59.0,-21.6,3.5,-15.5
87,50940,190.0,2.0,57.0,36.0,68.0,-20.9,30.0,-16.5
88,50945,206.0,2.0,59.0,36.0,70.0,-24.1,30.0,-20.1
89,50946,250.0,2.0,59.0,36.0,59.0,-22.7,19.0,-16.7
90,50948,223.0,1.0,69.0,50.0,61.0,-21.5,8.0,-15.7
91,50949,236.0,1.0,69.0,50.0,63.0,-23.4,13.3,-18.1
92,50950,180.0,2.0,79.0,53.0,69.0,-24.9,4.0,-20.7
93,50953,243.0,3.0,101.0,84.0,59.0,-24.3,9.0,-18.3
94,50954,257.0,1.0,59.0,36.0,70.0,-24.6,3.9,-20.6
95,50955,222.0,5.0,85.0,76.0,55.0,-24.8,30.0,-17.9
96,50956,252.0,1.0,101.0,84.0,62.0,-25.0,10.2,-19.6
