,id,wind_direction,wind_speed,pm10,pm25,humidity,dew,visibility,temperature
0,50136,155.0,0.0,16.0,7.0,64.0,-26.0,3.8,-21.0
1,50137,143.0,0.0,16.0,7.0,65.0,-28.3,30.0,-23.6
2,50246,228.0,1.0,16.0,7.0,72.0,-22.9,30.0,-19.1
3,50247,139.0,0.0,16.0,7.0,68.0,-24.8,14.1,-20.4
4,50349,226.0,0.0,16.0,7.0,67.0,-23.0,30.0,-18.4
5,50353,314.0,1.0,24.0,24.0,73.0,-27.1,6.0,-23.6
6,50425,189.0,2.0,17.0,12.0,80.0,-20.5,10.1,-17.9
7,50431,58.0,0.0,16.0,7.0,76.0,-22.7,5.9,-19.5
8,50434,306.0,0.0,16.0,7.0,69.0,-23.5,15.9,-19.3
9,50442,293.0,1.0,16.0,7.0,69.0,-19.9,30.0,-15.5
10,50445,6.0,2.0,16.0,7.0,71.0,-21.1,14.2,-17.1
11,50468,307.0,0.0,24.0,24.0,68.0,-20.1,30.0,-15.5
12,50514,93.0,0.0,17.0,12.0,76.0,-24.6,6.3,-21.5
13,50524,154.0,1.0,17.0,12.0,79.0,-24.0,18.6,-21.3
14,50525,147.0,1.0,17.0,12.0,75.0,-21.7,24.2,-18.4
15,50526,266.0,2.0,17.0,12.0,74.0,-19.2,20.5,-15.6
16,50527,174.0,3.0,17.0,12.0,76.0,-23.1,21.2,-20.0
17,50548,337.0,0.0,16.0,7.0,68.0,-22.4,15.9,-17.9
18,50557,159.0,0.0,16.0,7.0,72.0,-23.9,1.6,-20.2
19,50564,274.0,0.0,24.0,24.0,66.0,-17.9,18.8,-12.9
20,50566,89.0,0.0,24.0,24.0,72.0,-18.3,13.3,-14.4
21,50603,352.0,1.0,17.0,12.0,76.0,-19.4,30.0,-16.2
22,50618,223.0,1.0,17.0,12.0,85.0,-22.6,30.0,-20.7
23,50632,287.0,4.0,17.0,12.0,70.0,-16.1,30.0,-11.7
24,50639,358.0,2.0,91.0,77.0,48.0,-17.2,30.0,-8.1
25,50645,0.0,0.0,91.0,77.0,68.0,-20.6,14.3,-16.1
26,50646,240.0,1.0,91.0,77.0,82.0,-19.6,1.4,-17.3
27,50647,300.0,2.0,91.0,77.0,60.0,-17.6,27.6,-11.4
28,50655,257.0,1.0,91.0,77.0,77.0,-20.0,7.5,-16.9
29,50656,70.0,1.0,117.0,110.0,76.0,-20.0,3.8,-16.8
30,50658,209.0,1.0,91.0,77.0,78.0,-17.5,9.0,-14.5
31,50659,264.0,0.0,117.0,110.0,67.0,-19.8,5.4,-15.1
32,50673,162.0,0.0,10.0,3.0,71.0,-24.2,23.8,-20.3
33,50674,0.0,0.0,10.0,3.0,67.0,-17.4,30.0,-12.5
34,50727,299.0,0.0,39.0,28.0,69.0,-19.4,30.0,-15.0
35,50739,291.0,0.0,51.0,45.0,62.0,-15.9,2.1,-10.0
36,50741,253.0,1.0,91.0,77.0,62.0,-16.7,18.0,-10.8
37,50742,32.0,1.0,91.0,77.0,74.0,-18.5,4.6,-14.9
38,50745,313.0,0.0,91.0,77.0,75.0,-16.0,4.3,-12.5
39,50749,324.0,1.0,131.0,32.0,78.0,-18.4,5.6,-15.4
40,50750,260.0,1.0,91.0,77.0,77.0,-19.9,3.1,-16.8
41,50755,248.0,0.0,117.0,110.0,69.0,-19.7,1.9,-15.3
42,50756,148.0,2.0,117.0,110.0,78.0,-18.8,4.2,-15.9
43,50758,230.0,1.0,108.0,74.0,83.0,-19.3,5.1,-17.1
44,50767,184.0,1.0,117.0,110.0,71.0,-21.1,3.5,-17.1
45,50772,221.0,1.0,10.0,3.0,71.0,-19.1,13.3,-15.0
46,50774,135.0,0.0,19.0,10.0,69.0,-19.2,16.2,-14.8
47,50775,209.0,1.0,23.0,18.0,50.0,-15.2,30.0,-6.5
48,50776,103.0,1.0,38.0,37.0,63.0,-17.9,10.6,-12.3
49,50778,195.0,2.0,110.0,65.0,64.0,-18.5,21.3,-13.1
50,50779,166.0,2.0,110.0,65.0,70.0,-18.0,22.7,-13.7
51,50787,262.0,4.0,110.0,65.0,64.0,-18.7,30.0,-13.3
52,50788,280.0,3.0,110.0,65.0,66.0,-18.0,28.2,-13.0
53,50832,194.0,0.0,32.0,21.0,54.0,-18.0,17.0,-10.5
54,50833,313.0,1.0,32.0,21.0,61.0,-14.9,29.6,-8.7
55,50834,341.0,1.0,39.0,28.0,58.0,-17.9,17.9,-11.3
56,50838,238.0,1.0,32.0,21.0,47.0,-17.4,30.0,-8.1
57,50842,236.0,1.0,131.0,32.0,81.0,-16.2,2.9,-13.6
58,50844,236.0,0.0,113.0,41.0,65.0,-15.9,5.1,-10.6
59,50850,224.0,1.0,131.0,32.0,76.0,-15.2,2.4,-11.8
60,50851,230.0,1.0,117.0,110.0,79.0,-18.7,3.1,-15.9
61,50852,192.0,1.0,117.0,110.0,73.0,-20.1,2.6,-16.4
62,50853,245.0,1.0,117.0,110.0,74.0,-19.5,5.8,-15.9
63,50854,212.0,1.0,129.0,99.0,73.0,-18.3,5.3,-14.5
64,50858,193.0,1.0,188.0,151.0,85.0,-15.5,3.7,-13.6
65,50859,274.0,2.0,188.0,151.0,79.0,-21.6,2.5,-18.9
66,50861,293.0,1.0,117.0,110.0,81.0,-22.1,2.1,-19.8
