,id,wind_direction,wind_speed,pm10,pm25,humidity,dew,visibility,temperature
0,50136,236.0,1.0,,,83.0,-19.7,10.1,-17.5
1,50137,6.0,2.0,,,80.0,-17.8,28.3,-15.1
2,50246,267.0,1.0,37.0,28.0,83.0,-18.6,11.6,-16.4
3,50247,140.0,2.0,,,82.0,-19.3,10.0,-17.0
4,50349,159.0,0.0,37.0,28.0,79.0,-21.2,5.5,-18.5
5,50353,187.0,0.0,37.0,28.0,77.0,-27.0,4.2,-24.1
6,50425,267.0,0.0,23.0,10.0,77.0,-28.2,12.6,-25.3
7,50431,248.0,2.0,23.0,10.0,79.0,-23.7,3.5,-21.0
8,50434,321.0,2.0,23.0,10.0,78.0,-24.4,14.8,-21.6
9,50442,302.0,1.0,37.0,28.0,75.0,-20.1,30.0,-16.7
10,50445,19.0,1.0,37.0,28.0,81.0,-21.1,12.9,-18.7
11,50468,333.0,1.0,39.0,12.0,81.0,-20.2,28.7,-17.7
12,50514,302.0,2.0,23.0,10.0,78.0,-22.2,25.2,-19.3
13,50524,261.0,1.0,23.0,10.0,78.0,-26.5,24.8,-23.7
14,50525,286.0,2.0,19.0,11.0,74.0,-23.0,28.1,-19.5
15,50526,241.0,1.0,23.0,10.0,77.0,-22.1,7.9,-19.1
16,50527,265.0,1.0,23.0,10.0,75.0,-24.9,30.0,-21.7
17,50548,75.0,0.0,326.0,289.0,76.0,-23.7,4.0,-20.6
18,50557,267.0,1.0,37.0,28.0,81.0,-22.1,3.1,-19.7
19,50564,222.0,0.0,24.0,24.0,78.0,-21.8,13.0,-18.9
20,50566,267.0,2.0,24.0,24.0,83.0,-18.9,7.7,-16.7
21,50603,1.0,7.0,19.0,11.0,73.0,-18.1,30.0,-14.3
22,50618,247.0,0.0,19.0,11.0,86.0,-24.2,20.8,-22.5
23,50632,290.0,4.0,19.0,11.0,69.0,-20.7,17.2,-16.3
24,50639,335.0,3.0,326.0,289.0,51.0,-19.8,30.0,-11.7
25,50645,0.0,0.0,326.0,289.0,80.0,-25.8,4.2,-23.3
26,50646,260.0,1.0,326.0,289.0,82.0,-23.0,0.5,-20.7
27,50647,306.0,2.0,326.0,289.0,59.0,-18.2,30.0,-11.8
28,50655,217.0,0.0,326.0,289.0,82.0,-23.6,3.2,-21.3
29,50656,255.0,0.0,59.0,54.0,82.0,-23.4,0.6,-21.1
30,50658,302.0,1.0,326.0,289.0,80.0,-23.7,1.6,-21.2
31,50659,323.0,1.0,210.0,170.0,84.0,-23.1,1.8,-21.1
32,50673,247.0,2.0,44.0,38.0,82.0,-16.2,5.7,-13.8
33,50674,254.0,3.0,44.0,38.0,81.0,-17.6,5.6,-15.1
34,50727,335.0,1.0,18.0,16.0,77.0,-19.9,16.6,-16.8
35,50739,316.0,2.0,254.0,221.0,84.0,-18.3,2.1,-16.2
36,50741,298.0,2.0,326.0,289.0,68.0,-17.3,18.2,-12.6
37,50742,0.0,0.0,326.0,289.0,78.0,-25.9,0.6,-23.1
38,50745,0.0,0.0,326.0,289.0,80.0,-22.9,0.6,-20.3
39,50749,0.0,0.0,202.0,136.0,82.0,-24.4,,-22.2
40,50750,242.0,1.0,326.0,289.0,84.0,-23.3,1.2,-21.3
41,50755,0.0,0.0,210.0,170.0,82.0,-24.4,0.5,-22.2
42,50756,303.0,0.0,59.0,54.0,83.0,-25.1,0.0,-23.0
43,50758,237.0,0.0,210.0,170.0,86.0,-21.7,1.9,-20.0
44,50767,172.0,0.0,59.0,54.0,86.0,-23.9,0.0,-22.2
45,50772,208.0,3.0,44.0,38.0,80.0,-16.8,4.0,-14.1
46,50774,299.0,1.0,59.0,54.0,81.0,-16.8,4.4,-14.3
47,50775,296.0,0.0,118.0,87.0,82.0,-20.9,9.0,-18.6
48,50776,265.0,1.0,188.0,106.0,81.0,-19.6,3.1,-17.1
49,50778,219.0,2.0,82.0,47.0,88.0,-16.1,6.4,-14.6
50,50779,144.0,0.0,82.0,47.0,83.0,-17.9,10.8,-15.7
51,50787,221.0,3.0,82.0,47.0,79.0,-16.8,7.8,-14.0
52,50788,147.0,1.0,82.0,47.0,86.0,-18.9,4.3,-17.1
53,50832,320.0,0.0,28.0,21.0,48.0,-19.8,30.0,-10.9
54,50833,278.0,3.0,28.0,21.0,81.0,-18.2,12.2,-15.7
55,50834,296.0,5.0,18.0,16.0,57.0,-19.7,30.0,-13.0
56,50838,281.0,2.0,27.0,27.0,51.0,-19.4,30.0,-11.3
57,50842,263.0,1.0,202.0,136.0,80.0,-24.2,1.5,-21.7
58,50844,360.0,1.0,58.0,36.0,77.0,-25.9,2.4,-23.0
59,50850,281.0,0.0,202.0,136.0,87.0,-21.1,1.9,-19.5
60,50851,226.0,0.0,210.0,170.0,85.0,-22.2,2.2,-20.3
61,50852,178.0,0.0,210.0,170.0,82.0,-21.9,1.4,-19.6
62,50853,257.0,1.0,228.0,188.0,86.0,-19.4,2.3,-17.6
63,50854,275.0,0.0,215.0,183.0,82.0,-22.6,1.3,-20.3
64,50858,21.0,0.0,228.0,188.0,83.0,-26.8,1.6,-24.8
65,50859,293.0,1.0,228.0,188.0,83.0,-24.2,0.0,-22.1
66,50861,216.0,1.0,59.0,54.0,84.0,-24.9,0.8,-23.0
67,50862,194.0,1.0,59.0,54.0,87.0,-17.9,2.2,-16.2
68,50867,255.0,1.0,228.0,188.0,86.0,-17.3,1.9,-15.5
69,50871,187.0,3.0,50.0,48.0,80.0,-17.4,8.2,-14.7
70,50873,243.0,1.0,46.0,41.0,73.0,-17.3,12.2,-13.5
71,50877,243.0,1.0,50.0,48.0,77.0,-16.0,14.7,-12.8
72,50878,228.0,2.0,57.0,47.0,76.0,-16.3,9.3,-13.0
73,50879,269.0,3.0,94.0,41.0,85.0,-14.4,4.4,-12.4
74,50880,172.0,2.0,82.0,47.0,71.0,-15.6,5.2,-11.4
75,50881,230.0,1.0,82.0,47.0,85.0,-17.9,10.4,-16.0
76,50884,185.0,2.0,55.0,42.0,67.0,-15.2,18.3,-10.3
77,50888,207.0,2.0,55.0,42.0,83.0,-17.6,3.7,-15.3
78,50892,140.0,1.0,82.0,47.0,82.0,-19.8,5.1,-17.5
79,50913,258.0,2.0,18.0,16.0,78.0,-20.2,15.3,-17.3
80,50915,270.0,5.0,22.0,10.0,79.0,-20.9,19.2,-18.2
81,50924,276.0,6.0,18.0,16.0,73.0,-19.3,8.1,-15.6
82,50928,327.0,5.0,18.0,16.0,57.0,-19.2,30.0,-12.4
83,50934,301.0,3.0,18.0,16.0,53.0,-19.2,30.0,-11.5
84,50936,316.0,1.0,58.0,36.0,82.0,-19.9,5.4,-17.6
85,50937,308.0,6.0,18.0,16.0,56.0,-18.4,30.0,-11.4
86,50939,292.0,2.0,55.0,47.0,73.0,-19.6,30.0,-16.0
87,50940,349.0,1.0,58.0,36.0,88.0,-19.8,5.5,-18.4
88,50945,117.0,0.0,66.0,64.0,91.0,-21.7,4.6,-20.7
89,50946,261.0,1.0,66.0,64.0,87.0,-18.5,8.0,-16.9
90,50948,260.0,3.0,111.0,67.0,74.0,-18.7,11.9,-15.1
91,50949,262.0,1.0,111.0,67.0,82.0,-19.6,30.0,-17.2
92,50950,0.0,0.0,277.0,235.0,83.0,-24.6,1.3,-22.5
93,50953,295.0,1.0,228.0,188.0,86.0,-19.2,0.9,-17.4
94,50954,275.0,1.0,66.0,64.0,86.0,-24.1,0.0,-22.4
95,50955,223.0,2.0,228.0,188.0,84.0,-18.0,16.0,-15.9
96,50956,271.0,0.0,228.0,188.0,80.0,-23.1,2.9,-20.6
97,50958,158.0,0.0,228.0,188.0,84.0,-21.3,3.4,-19.3
98,50960,258.0,1.0,228.0,188.0,85.0,-17.9,2.1,-16.0
99,50962,322.0,0.0,228.0,188.0,77.0,-27.7,5.2,-24.8
100,50963,251.0,2.0,50.0,48.0,84.0,-24.0,3.5,-22.0
101,50964,204.0,0.0,196.0,162.0,86.0,-20.0,2.9,-18.2
102,50965,202.0,0.0,228.0,188.0,88.0,-19.2,2.5,-17.7
103,50968,211.0,1.0,228.0,188.0,89.0,-15.6,1.6,-14.2
104,50971,0.0,0.0,94.0,41.0,84.0,-18.3,4.9,-16.2
105,50973,175.0,1.0,94.0,41.0,76.0,-17.6,13.4,-14.3
106,50978,260.0,4.0,45.0,33.0,73.0,-16.1,12.5,-12.3
107,50979,0.0,0.0,45.0,33.0,81.0,-19.8,3.1,-17.3
108,50983,338.0,0.0,122.0,94.0,89.0,-18.7,2.7,-17.3
109,50985,241.0,0.0,122.0,94.0,84.0,-16.9,11.7,-14.8
110,50987,231.0,0.0,76.0,26.0,68.0,-17.1,22.6,-12.4
111,51053,277.0,2.0,165.0,131.0,84.0,-15.5,5.5,-13.4
112,51058,262.0,1.0,165.0,131.0,82.0,-17.4,3.9,-15.0
113,51059,270.0,1.0,165.0,131.0,85.0,-16.7,5.8,-14.7
114,51060,309.0,2.0,165.0,131.0,77.0,-15.9,11.0,-12.7
115,51068,191.0,1.0,165.0,131.0,83.0,-17.1,3.3,-14.9
116,51076,68.0,0.0,165.0,131.0,85.0,-16.5,4.8,-14.5
117,51087,260.0,1.0,,,83.0,-18.1,16.8,-15.9
118,51133,36.0,1.0,30.0,20.0,82.0,-16.8,7.4,-14.4
119,51137,139.0,0.0,30.0,20.0,85.0,-13.6,16.7,-11.6
120,51145,70.0,1.0,30.0,20.0,83.0,-18.6,5.2,-16.4
121,51156,0.0,0.0,165.0,131.0,85.0,-15.9,3.9,-13.9
122,51186,127.0,0.0,,,79.0,-23.1,15.4,-20.4
123,51232,233.0,1.0,118.0,74.0,82.0,-19.6,3.7,-17.3
124,51238,226.0,0.0,118.0,74.0,80.0,-21.6,2.3,-19.0
125,51241,193.0,1.0,30.0,20.0,82.0,-17.7,12.2,-15.3
126,51243,301.0,0.0,133.0,112.0,78.0,-23.6,5.7,-20.8
127,51288,150.0,3.0,104.0,68.0,76.0,-15.9,24.5,-12.5
128,51328,302.0,0.0,226.0,178.0,91.0,-10.1,0.2,-8.9
129,51329,142.0,0.0,226.0,178.0,91.0,-10.8,0.3,-9.6
130,51330,0.0,0.0,106.0,69.0,70.0,-21.7,30.0,-17.5
131,51334,157.0,0.0,118.0,74.0,80.0,-20.6,3.0,-18.0
132,51346,177.0,1.0,304.0,235.0,77.0,-20.7,2.1,-17.6
133,51352,81.0,1.0,158.0,87.0,85.0,-20.4,4.9,-18.5
134,51353,34.0,1.0,321.0,269.0,76.0,-20.5,3.4,-17.3
135,51356,232.0,0.0,321.0,269.0,83.0,-20.9,0.9,-18.7
136,51357,158.0,0.0,304.0,235.0,82.0,-18.9,1.3,-16.6
137,51358,272.0,0.0,304.0,235.0,84.0,-21.2,1.5,-19.2
138,51359,277.0,0.0,321.0,269.0,81.0,-22.1,1.5,-19.7
139,51365,21.0,0.0,386.0,311.0,81.0,-20.1,1.1,-17.6
140,51367,205.0,2.0,347.0,273.0,79.0,-22.1,2.9,-19.4
141,51368,326.0,0.0,347.0,273.0,81.0,-18.3,0.9,-15.8
142,51369,0.0,0.0,243.0,243.0,81.0,-15.5,0.9,-12.9
143,51377,341.0,0.0,104.0,68.0,86.0,-18.8,1.1,-17.0
144,51378,0.0,0.0,104.0,68.0,84.0,-19.7,1.0,-17.7
145,51379,147.0,1.0,242.0,153.0,80.0,-18.2,0.9,-15.5
146,51430,236.0,1.0,227.0,193.0,91.0,-9.6,1.2,-8.4
147,51431,12.0,1.0,260.0,170.0,92.0,-9.7,0.9,-8.6
148,51433,91.0,1.0,260.0,170.0,82.0,-15.4,8.2,-13.0
149,51434,274.0,0.0,260.0,170.0,92.0,-11.1,0.1,-10.1
150,51435,288.0,0.0,260.0,170.0,90.0,-11.7,0.1,-10.4
151,51436,7.0,0.0,260.0,170.0,86.0,-10.7,3.1,-8.8
152,51437,24.0,0.0,227.0,193.0,62.0,-15.9,23.0,-10.0
153,51438,244.0,1.0,227.0,193.0,69.0,-13.8,9.4,-9.2
154,51463,203.0,1.0,21.0,15.0,79.0,-13.4,4.1,-10.5
155,51465,202.0,0.0,108.0,74.0,81.0,-17.1,2.8,-14.6
156,51467,144.0,0.0,110.0,68.0,70.0,-18.4,13.3,-14.1
157,51468,,,,,,,,
158,51469,232.0,1.0,108.0,74.0,80.0,-18.1,2.7,-15.4
159,51470,323.0,1.0,104.0,68.0,85.0,-18.7,2.4,-16.8
160,51477,288.0,1.0,108.0,74.0,76.0,-16.6,4.8,-13.3
161,51482,229.0,4.0,212.0,99.0,84.0,-18.2,1.3,-16.1
162,51495,9.0,3.0,125.0,42.0,71.0,-12.1,14.0,-7.8
163,51526,269.0,1.0,242.0,153.0,65.0,-15.8,11.7,-10.5
164,51542,308.0,0.0,304.0,235.0,72.0,-28.5,30.0,-24.9
165,51559,37.0,1.0,110.0,68.0,78.0,-14.8,5.9,-11.7
166,51567,193.0,1.0,161.0,57.0,82.0,-15.0,2.9,-12.6
167,51568,338.0,0.0,161.0,57.0,82.0,-15.9,3.2,-13.5
168,51571,249.0,3.0,242.0,153.0,53.0,-16.9,5.8,-9.1
169,51572,0.0,0.0,212.0,99.0,50.0,-17.2,3.6,-8.7
170,51573,325.0,0.0,212.0,99.0,50.0,-15.8,4.2,-7.1
171,51581,153.0,1.0,212.0,99.0,61.0,-15.5,11.0,-9.4
172,51627,212.0,1.0,119.0,78.0,84.0,-12.0,2.5,-9.8
173,51628,53.0,1.0,119.0,78.0,69.0,-10.6,3.3,-5.8
174,51629,0.0,0.0,178.0,99.0,73.0,-10.9,2.5,-6.9
175,51633,341.0,0.0,178.0,99.0,74.0,-12.7,3.0,-8.9
176,51636,318.0,0.0,178.0,99.0,76.0,-13.3,6.4,-9.9
177,51639,21.0,0.0,178.0,99.0,77.0,-11.7,5.2,-8.4
178,51642,17.0,1.0,110.0,68.0,79.0,-11.8,7.4,-8.8
179,51644,267.0,0.0,178.0,99.0,76.0,-12.1,3.0,-8.6
180,51655,71.0,1.0,161.0,57.0,67.0,-13.5,7.2,-8.5
181,51656,38.0,1.0,110.0,68.0,78.0,-11.7,8.0,-8.6
182,51701,328.0,3.0,62.0,57.0,31.0,-23.1,30.0,-9.1
183,51704,6.0,0.0,62.0,57.0,81.0,-9.4,3.0,-6.7
184,51705,245.0,0.0,62.0,57.0,74.0,-11.0,4.7,-7.2
185,51707,359.0,1.0,62.0,57.0,67.0,-8.0,6.8,-2.7
186,51708,118.0,1.0,90.0,66.0,72.0,-8.5,7.4,-4.2
187,51709,61.0,0.0,90.0,66.0,74.0,-9.2,6.3,-5.3
188,51711,250.0,0.0,119.0,78.0,76.0,-14.7,8.3,-11.3
189,51716,318.0,0.0,119.0,78.0,74.0,-10.1,9.7,-6.2
190,51717,239.0,0.0,63.0,54.0,67.0,-8.0,7.0,-2.7
191,51720,67.0,0.0,119.0,78.0,77.0,-11.0,4.9,-7.7
192,51722,342.0,0.0,119.0,78.0,69.0,-12.1,4.0,-7.4
193,51730,87.0,0.0,119.0,78.0,68.0,-11.4,9.5,-6.5
194,51747,36.0,1.0,100.0,59.0,51.0,-20.4,30.0,-12.3
195,51765,0.0,0.0,161.0,57.0,61.0,-15.3,8.6,-9.2
196,51777,61.0,1.0,161.0,57.0,53.0,-14.5,20.7,-6.5
197,51787,,,,,,,,
198,51802,115.0,1.0,90.0,66.0,71.0,-7.6,6.6,-3.1
199,51804,0.0,0.0,90.0,66.0,38.0,-24.3,20.3,-12.9
200,51810,360.0,0.0,63.0,54.0,76.0,-10.2,8.5,-6.7
201,51811,282.0,0.0,90.0,66.0,87.0,-8.4,1.5,-6.6
202,51814,350.0,1.0,90.0,66.0,74.0,-9.1,9.9,-5.2
203,51815,0.0,0.0,90.0,66.0,82.0,-10.1,2.3,-7.6
204,51818,48.0,0.0,178.0,122.0,63.0,-10.1,13.2,-4.1
205,51822,,,,,,,,
206,51826,181.0,0.0,119.0,72.0,60.0,-11.0,8.0,-4.4
207,51827,204.0,1.0,178.0,122.0,68.0,-11.1,5.6,-6.2
208,51828,325.0,1.0,119.0,72.0,52.0,-10.4,2.1,-1.8
209,51829,154.0,1.0,119.0,72.0,47.0,-11.5,21.7,-1.7
210,51839,283.0,0.0,119.0,72.0,59.0,-11.9,12.4,-5.1
211,51855,42.0,1.0,161.0,57.0,51.0,-15.1,21.8,-6.6
212,51886,88.0,3.0,212.0,99.0,23.0,-25.6,30.0,-8.1
213,51931,0.0,0.0,119.0,72.0,62.0,-9.8,2.6,-3.6
214,51991,,,,,,,,
215,52101,185.0,0.0,125.0,42.0,67.0,-21.3,30.0,-16.6
216,52112,141.0,0.0,125.0,42.0,62.0,-15.7,10.9,-9.8
217,52118,191.0,2.0,109.0,48.0,67.0,-19.8,20.0,-15.0
218,52203,99.0,1.0,109.0,48.0,73.0,-16.1,4.6,-12.3
219,52267,111.0,3.0,72.0,33.0,51.0,-16.1,30.0,-7.7
220,52313,114.0,2.0,109.0,48.0,64.0,-17.4,30.0,-12.0
221,52323,284.0,1.0,63.0,29.0,63.0,-17.4,27.9,-11.9
222,52378,102.0,3.0,46.0,28.0,58.0,-16.5,22.6,-9.8
223,52418,102.0,0.0,63.0,29.0,47.0,-13.1,8.0,-3.5
224,52424,42.0,0.0,63.0,29.0,50.0,-13.3,7.6,-4.5
225,52436,0.0,0.0,63.0,29.0,54.0,-14.3,30.0,-6.6
226,52446,349.0,1.0,72.0,33.0,75.0,-12.5,10.3,-9.0
227,52447,236.0,1.0,72.0,33.0,73.0,-9.1,29.6,-5.1
228,52495,104.0,2.0,101.0,75.0,67.0,-11.9,18.0,-6.8
229,52515,171.0,7.0,63.0,29.0,24.0,-18.5,30.0,-0.4
230,52533,217.0,2.0,72.0,33.0,65.0,-12.9,17.8,-7.6
231,52546,106.0,3.0,37.0,26.0,74.0,-9.3,26.3,-5.5
232,52557,170.0,3.0,37.0,26.0,68.0,-9.5,30.0,-4.6
233,52575,66.0,2.0,40.0,28.0,60.0,-14.8,13.9,-8.4
234,52576,133.0,5.0,40.0,28.0,74.0,-9.7,20.6,-5.8
235,52602,172.0,4.0,,,50.0,-19.3,30.0,-10.9
236,52607,228.0,1.0,283.0,212.0,80.0,-10.9,2.1,-8.1
237,52633,71.0,1.0,95.0,47.0,77.0,-27.5,14.3,-24.6
238,52643,15.0,0.0,37.0,26.0,80.0,-16.5,12.5,-13.8
239,52645,345.0,1.0,37.0,26.0,83.0,-23.3,21.9,-21.2
240,52652,186.0,2.0,37.0,26.0,77.0,-11.5,11.8,-8.3
241,52656,179.0,4.0,46.0,28.0,65.0,-18.2,12.2,-13.0
